City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Strathroy,CA,2021-09-12 14:14:58,42.9551,-81.6223,72.48,71,99,10.74
1,Hobart,AU,2021-09-12 14:14:58,-42.8794,147.3294,45.27,80,75,6.91
2,Cidreira,BR,2021-09-12 14:14:58,-30.1811,-50.2056,67.08,76,5,14.97
3,Dikson,RU,2021-09-12 14:14:59,73.5069,80.5464,40.73,85,17,7.87
4,Missoula,US,2021-09-12 14:14:59,47.0166,-113.8009,38.1,85,25,1.68
5,Dunedin,NZ,2021-09-12 14:10:57,-45.8742,170.5036,54.81,83,100,3.0
6,Yellowknife,CA,2021-09-12 14:14:59,62.456,-114.3525,46.92,100,75,9.22
7,Nanortalik,GL,2021-09-12 14:15:00,60.1432,-45.2371,40.24,94,100,11.9
8,Ushuaia,AR,2021-09-12 14:15:00,-54.8,-68.3,40.66,60,75,3.44
9,Hermanus,ZA,2021-09-12 14:15:00,-34.4187,19.2345,56.89,81,100,11.39
10,Faanui,PF,2021-09-12 14:10:34,-16.4833,-151.75,76.8,74,15,16.69
11,Upernavik,GL,2021-09-12 14:15:01,72.7868,-56.1549,32.67,64,100,22.12
12,Samana,DO,2021-09-12 14:15:01,19.2056,-69.3369,84.16,89,40,0.0
13,Busselton,AU,2021-09-12 14:15:01,-33.65,115.3333,50.09,81,94,4.74
14,Tasiilaq,GL,2021-09-12 14:15:02,65.6145,-37.6368,37.56,87,100,52.08
15,Mataura,NZ,2021-09-12 14:15:02,-46.1927,168.8643,46.47,97,99,6.89
16,Geraldton,AU,2021-09-12 14:10:39,-28.7667,114.6,52.21,87,0,10.36
17,Lincoln,US,2021-09-12 14:11:08,40.8,-96.667,71.98,86,1,5.01
18,Khatanga,RU,2021-09-12 14:15:02,71.9667,102.5,45.23,62,4,3.18
19,Albany,US,2021-09-12 14:15:03,42.6001,-73.9662,71.8,79,99,5.7
20,Jamestown,US,2021-09-12 14:10:13,42.097,-79.2353,70.02,85,90,11.99
21,Bredasdorp,ZA,2021-09-12 14:15:03,-34.5322,20.0403,56.28,77,95,16.91
22,Okhotsk,RU,2021-09-12 14:15:04,59.3833,143.3,48.51,82,14,3.69
23,Eucaliptus,BO,2021-09-12 14:15:04,-17.5833,-67.5167,54.79,46,14,9.28
24,Ponta Do Sol,PT,2021-09-12 14:15:04,32.6667,-17.1,85.01,72,57,9.89
25,Wanning,CN,2021-09-12 14:15:05,18.8003,110.3967,81.03,85,89,3.8
26,Talnakh,RU,2021-09-12 14:11:11,69.4865,88.3972,46.44,83,100,5.61
27,Cape Town,ZA,2021-09-12 14:11:35,-33.9258,18.4232,64.89,66,89,4.0
28,Isangel,VU,2021-09-12 14:15:05,-19.55,169.2667,72.32,85,35,9.78
29,Ginir,ET,2021-09-12 14:15:05,7.1333,40.7,71.04,48,80,16.58
30,Vila Franca Do Campo,PT,2021-09-12 14:15:06,37.7167,-25.4333,72.01,78,100,19.89
31,Hilo,US,2021-09-12 14:15:06,19.7297,-155.09,71.33,89,90,8.05
32,Krasnaya Gorka,RU,2021-09-12 14:15:06,55.1962,56.6673,53.31,57,34,5.14
33,Dingle,PH,2021-09-12 14:11:27,10.9995,122.6711,77.2,89,100,1.28
34,Kapaa,US,2021-09-12 14:15:07,22.0752,-159.319,76.12,79,40,1.99
35,Vaini,TO,2021-09-12 14:15:07,-21.2,-175.2,69.96,94,40,2.3
36,Ouadda,CF,2021-09-12 14:15:07,8.0777,22.4007,77.5,88,100,5.68
37,Port Alfred,ZA,2021-09-12 14:15:08,-33.5906,26.891,68.0,72,29,12.55
38,Avera,US,2021-09-12 14:10:42,33.194,-82.5271,76.68,61,0,2.93
39,Alofi,NU,2021-09-12 14:15:08,-19.0595,-169.9187,75.76,81,100,8.95
40,Cedar City,US,2021-09-12 14:13:42,37.6775,-113.0619,65.39,54,1,0.0
41,Ixtapa,MX,2021-09-12 14:11:51,20.7,-105.2,80.22,94,1,3.44
42,Mahebourg,MU,2021-09-12 14:15:09,-20.4081,57.7,71.26,83,75,18.41
43,Castro,BR,2021-09-12 14:15:09,-24.7911,-50.0119,80.33,42,0,4.9
44,Chuy,UY,2021-09-12 14:15:09,-33.6971,-53.4616,62.37,78,100,11.54
45,Nikolskoye,RU,2021-09-12 14:15:09,59.7035,30.7861,62.49,75,100,6.85
46,Thyolo,MW,2021-09-12 14:15:10,-16.0678,35.1405,74.91,38,99,6.04
47,Harper,LR,2021-09-12 14:15:10,4.375,-7.7169,79.25,81,94,9.08
48,Puksoozero,RU,2021-09-12 14:15:10,62.5903,40.6066,51.51,56,40,1.5
49,Rawson,AR,2021-09-12 14:15:11,-43.3002,-65.1023,59.07,28,65,20.62
50,Guatire,VE,2021-09-12 14:15:11,10.4762,-66.5427,85.21,60,96,3.69
